  Sunday, August 25, 2013

20:19       
  WMNR   Volts:  4423    Amps:  0.752    Watts:  2,039
  WRXC   Volts:  50.9    Amps:  8.99    Watts:  197
  WGRS   Volts:  3671    Amps:  1.77    Watts:  4,029
  WGSK   Volts:  49.99    Amps:  7.59    Watts:  245

